id, dx, dy, yi, offset, str_length, mode, n_meas_step, meas_basis, nsim, narray, comments
1-100, 20, 10+10*i, 5+5*i, 10*i, 10+j, 0, 4*i, y, 500, 1, toric i=10*[1:10] j=10*[1:10]
101-200, 20, 10+10*i, 5+5*i, 10*i, 10+j, 0, 4*i, z, 500, 1, toric i=10*[1:10] j=10*[1:10]
201-300, 20, 10+10*i, 5+5*i, 10*i, 10+j, 0, 2*i, y, 500, 1, cluster i=10*[1:10] j=10*[1:10]
301-400, 20, 10+10*i, 5+5*i, 10*i, 10+j, 0, 2*i, z, 500, 1, cluster i=10*[1:10] j=10*[1:10]
401-500, 20, 10+10*i, 5+5*i, 10*i, 10+j, 0, 4*i, y, 500, 1, xzzx i=10*[1:10] j=10*[1:10]
501-600, 20, 10+10*i, 5+5*i, 10*i, 10+j, 0, 4*i, z, 500, 1, zxxz i=10*[1:10] j=10*[1:10]

601-625, 10*i, 10*i, 5*i, 5*i, 5*i+i*j, 0, 4*i*i, y, 50, 10, toric i=10*[1:5] j=10*[1:5]
626-650, 10*i, 10*i, 5*i, 5*i, 5*i+i*j, 0, 4*i*i, z, 50, 10, toric i=10*[1:5] j=10*[1:5]
651-675, 10*i, 10*i, 5*i, 5*i, 5*i+i*j, 0, 2*i*i, y, 50, 10, cluster i=10*[1:5] j=10*[1:5]
676-700, 10*i, 10*i, 5*i, 5*i, 5*i+i*j, 0, 2*i*i, z, 50, 10, cluster i=10*[1:5] j=10*[1:5]
701-725, 10*i, 10*i, 5*i, 5*i, 5*i+i*j, 0, 4*i*i, y, 50, 10, xzzx i=10*[1:5] j=10*[1:5]
726-750, 10*i, 10*i, 5*i, 5*i, 5*i+i*j, 0, 4*i*i, z, 50, 10, xzzx i=10*[1:5] j=10*[1:5]

751-775, 20*i, 20, 10, 5*i, 4*i*j, 0, 8*i, y, 500, 1, toric i=10*[1:5] j=10*[1:5]
776-800, 20*i, 20, 10, 5*i, 4*i*j, 0, 8*i, z, 500, 1, toric i=10*[1:5] j=10*[1:5]
801-825, 20*i, 20, 10, 5*i, 4*i*j, 0, 4*i, y, 500, 1, cluster i=10*[1:5] j=10*[1:5]
826-850, 20*i, 20, 10, 5*i, 4*i*j, 0, 4*i, z, 500, 1, cluster i=10*[1:5] j=10*[1:5]
851-875, 20*i, 20, 10, 5*i, 4*i*j, 0, 8*i, y, 500, 1, xzzx i=10*[1:5] j=10*[1:5]
876-900, 20*i, 20, 10, 5*i, 4*i*j, 0, 8*i, z, 500, 1, xzzx i=10*[1:5] j=10*[1:5]
