id, dx, dy, Asites, Csites, nstr, Msites, basis,  nsim, type
1, 20, 20, (1 20 1 1), (1 20 10 10), 20, string 1:1:20 1:10, x, 1,
2, 20, 20, (1 20 1 1), (1 20 10 10), 20, string 1:1:20 1:10, y, 1,
3, 20, 20, (1 20 1 1), (1 20 10 10), 20, string 1:1:20 1:10, z, 1,
4, 20, 20, (1 20 1 1), (1 20 10 10), 20, string 1:2:20 1:10, y, 1,
5, 20, 20, (1 20 1 1), (1 20 10 10), 20, string 1:2:20 1:10, z, 1,
6, 20, 20, (1 20 1 1), (1 20 10 10), 20, string 1:4:20 1:10, y, 1,
7, 20, 20, (1 20 1 1), (1 20 10 10), 20, string 1:4:20 1:10, z, 1,
8, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:1:hx 2:hy-1, y, 1,
9, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:1:hx 2:hy-1, z, 1,
10, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:2:hx 2:hy-1, y, 1,
11, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:2:hx 2:hy-1, z, 1,
12, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:3:hx 2:hy-1, y, 1,
13, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, diag string 1:4:hx 2:hy-1, z, 1,
14, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, string 1:2:hx 2:hy-1 w/ center cut, y, 1,
15, 40, 40, (1 dx 1 1), (1 dx hy hy), 20, string 1:2:hx 2:hy-1 w/ center cut, z, 1,
something is wrong abort these data
